book_title,author,year,decade,tokens_in_book,authors_sex
1836_marryat-mr-midshipman-easy,marryat,1836,1830s,139069,M
1845_dickens-the-cricket-on-the-hearth-a-fairy-tale-of-home,dickens,1845,1840s,31427,M
1848_marryat-the-little-savage,marryat,1848,1840s,96774,M
1841_marryat-masterman-ready,marryat,1841,1840s,99247,M
1844_marryat-the-settlers-in-canada,marryat,1844,1840s,110639,M
1847_marryat-the-children-of-the-new-forest,marryat,1847,1840s,113784,M
1858_ballantyne-martin-rattler,ballantyne,1858,1850s,59878,M
1857_ballantyne-the-coral-island-a-tale-of-the-pacific-ocean,ballantyne,1857,1850s,99152,M
1856_ballantyne-the-young-fur-traders,ballantyne,1856,1850s,120802,M
1858_farrar-eric-or-little-by-little,farrar,1858,1850s,93363,M
1857_hughes-tom-browns-school-days,hughes,1857,1850s,105341,M
1855_kingsley-westward-ho,kingsley,1855,1850s,251520,M
1851_ruskin-the-king-of-the-golden-river,ruskin,1851,1850s,9096,M
1863_ballantyne-fighting-the-whales,ballantyne,1863,1860s,23096,M
1865_ballantyne-the-lighthouse,ballantyne,1865,1860s,88299,M
1865_carroll-alices-adventures-in-wonderland,carroll,1865,1860s,26443,M
1869_dickens-david-copperfield,dickens,1869,1860s,353917,M
1862_farrar-st-winfreds-the-world-of-school,farrar,1862,1860s,131343,M
1861_hughes-tom-brown-at-oxford,hughes,1861,1860s,246071,M
1863_kingsley-the-water-babies,kingsley,1863,1860s,68507,M
1876_adams-hair-breadth-escapes-the-adventures-of-the-three-boys-in-south-africa,adams,1876,1870s,97970,M
1872_ballantyne-the-pioneers,ballantyne,1872,1870s,24948,M
1873_ballantyne-life-in-the-red-brigade,ballantyne,1873,1870s,30941,M
1874_ballantyne-the-pirate-city-an-algerine-tale,ballantyne,1874,1870s,86084,M
1877_ballantyne-the-settler-and-the-savage,ballantyne,1877,1870s,91021,M
1875_ballantyne-rivers-of-ice,ballantyne,1875,1870s,93816,M
1871_carroll-through-the-looking-glass,carroll,1871,1870s,29259,M
1879_hemyng-the-slave-of-the-mine,hemyng,1879,1870s,18833,M
1879_hemyng-jack-harkaway-in-new-york,hemyng,1879,1870s,31252,M
1870_hemyng-jack-harkaways-boy-tinker-among-the-turks,hemyng,1870,1870s,83631,M
1878_kingston-the-three-admirals,kingston,1878,1870s,171912,M
1875_macdonald-a-double-story,macdonald,1875,1870s,34121,M
1873_macdonald-gutta-percha-willie-the-working-genius,macdonald,1873,1870s,47724,M
1872_macdonald-the-princess-and-the-goblin,macdonald,1872,1870s,50800,M
1871_macdonald-ranald-bannermans-boyhood,macdonald,1871,1870s,71619,M
1871_macdonald-at-the-back-of-the-north-wind,macdonald,1871,1870s,88514,M
1887_adams-perils-in-the-transvaal-and-zululand,adams,1887,1880s,108646,M
1882_ballantyne-the-life-of-a-ship,ballantyne,1882,1880s,6533,M
1883_ballantyne-the-thorogood-family,ballantyne,1883,1880s,21770,M
1883_ballantyne-battles-with-the-sea,ballantyne,1883,1880s,23852,M
1886_ballantyne-the-lively-poll,ballantyne,1886,1880s,32328,M
1881_ballantyne-my-doggie-and-i,ballantyne,1881,1880s,40015,M
1886_ballantyne-the-prairie-chief,ballantyne,1886,1880s,52856,M
1885_collingwood-the-voyage-of-the-aurora,collingwood,1885,1880s,86714,M
1885_collingwood-the-congo-rovers-a-story-of-the-slave-squadron,collingwood,1885,1880s,101108,M
1884_collingwood-the-pirate-island-a-story-of-the-south-pacific,collingwood,1884,1880s,112939,M
1887_collingwood-the-rovers-secret-a-tale-of-the-pirate-cays-and-lagoons-of-cuba,collingwood,1887,1880s,121651,M
1884_collingwood-under-the-meteor-flag-log-of-a-midshipman-during-the-french-revolutionary-ear,collingwood,1884,1880s,141098,M
1886_fenn-son-phillip,fenn,1886,1880s,12578,M
1884_fenn-through-forest-and-stream,fenn,1884,1880s,31940,M
1885_fenn-the-new-forest-spy,fenn,1885,1880s,35448,M
1887_fenn-the-bag-of-diamonds,fenn,1887,1880s,45207,M
1883_fenn-nat-the-naturalist-a-boys-adventures-in-the-eastern-seas,fenn,1883,1880s,79964,M
1889_fenn-three-boys,fenn,1889,1880s,86142,M
1886_henty-within-the-enemy-lines,henty,1886,1880s,63045,M
1888_henty-sturdy-and-strong,henty,1888,1880s,69594,M
1882_henty-facing-death,henty,1882,1880s,72045,M
1885_henty-the-young-colonists,henty,1885,1880s,75924,M
1885_henty-the-dragon-and-the-raven,henty,1885,1880s,82015,M
1886_henty-for-name-and-fame,henty,1886,1880s,85313,M
1888_in-the-reign-of-terror,in,1888,1880s,92900,M
1882_jefferies-bevis-the-story-of-a-boy,jefferies,1882,1880s,177248,M
1885_kingston-adventures-in-australia,kingston,1885,1880s,36118,M
1883_kingston-adventures-in-africa,kingston,1883,1880s,36258,M
1884_lang-the-princess-nobody-a-tale-of-fairyland,lang,1884,1880s,5098,M
1888_lang-the-gold-of-fairnilee,lang,1888,1880s,14452,M
1889_lang-prince-prigio,lang,1889,1880s,17208,M
1883_macdonald-the-princess-and-curdie,macdonald,1883,1880s,55887,M
1888_macdonald-a-rough-shaking,macdonald,1888,1880s,107936,M
1883_reed-the-adventures-of-a-three-guinea-watch,reed,1883,1880s,74519,M
1885_reed-reginald-cruden,reed,1885,1880s,90572,M
1887_reed-the-master-of-the-shell,reed,1887,1880s,98093,M
1885_reed-follow-my-leader,reed,1885,1880s,100091,M
1881_reed-the-fifth-form-at-st-dominics,reed,1881,1880s,109407,M
1889_reed-sir-ludar,reed,1889,1880s,120113,M
1883_stevenson-treasure-island,stevenson,1883,1880s,67869,M
1886_stevenson-kidnapped,stevenson,1886,1880s,79974,M
1888_wilde-the-happy-prince-and-other-tales,wilde,1888,1880s,16168,M
1890_ballantyne-the-eagle-cliff,ballantyne,1890,1890s,70880,M
1896_collingswood-the-log-of-privateersman,collingswood,1896,1890s,102148,M
1899_collingwood-the-castaways,collingwood,1899,1890s,80107,M
1898_collingwood-a-pirate-of-the-caribbees,collingwood,1898,1890s,84829,M
1895_collingwood-the-pirate-slaver-a-story-of-the-west-african-coast,collingwood,1895,1890s,102560,M
1894_collingwood-the-cruise-of-the-esmeralda,collingwood,1894,1890s,104332,M
1898_farrow-the-wallypug-in-london,farrow,1898,1890s,23098,M
1894_kipling-the-jungle-book,kipling,1894,1890s,50791,M
1897_kipling-captains-courageous-a-story-of-the-grand-banks,kipling,1897,1890s,52497,M
1895_kipling-the-second-jungle-book,kipling,1895,1890s,63679,M
1899_kipling-stalky-and-co,kipling,1899,1890s,64508,M
1893_reed-the-cock-house-at-fellsgarth,reed,1893,1890s,87618,M
1891_reed-roger-ingleton-minor,reed,1891,1890s,89202,M
1894_reed-tom-dick-and-harry,reed,1894,1890s,90650,M
1894_reed-a-dog-with-a-bad-name,reed,1894,1890s,96486,M
1895_reed-kilgorman-a-story-of-ireland-in-1798,reed,1895,1890s,105698,M
1893_stevenson-catriona,stevenson,1893,1890s,100420,M
1908_collingwood-under-the-chilian-flag-a-tale-of-war-between-chili-and-peru,collingwood,1908,1900s,84419,M
